months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported,Date-diff,policy_state_IN,policy_state_OH,policy_csl_250/500,policy_csl_500/1000,insured_sex_MALE,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,collision_type_unknown,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,property_damage_Unknown,property_damage_YES,police_report_available_YES,police_report_available_unknown
1.0781395802224778,0.9908364694613041,-0.22238259044849376,0.6167046113377183,-0.4794758203104481,1.011330643263252,0.9538505081700629,-0.9562606642355124,-0.8238649762007128,0.009759465477002306,0.461837853772224,0.7142574246765716,-0.18928317351454105,1.1655049667775859,0.7496527191568344,1,-1.7277428032755597,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
0.20899460156739996,0.334073453910285,1.412783515790431,-0.2425211822310571,-0.4794758203104481,-0.9019267788874382,0.9538505081700629,-0.524475295074384,-0.8238649762007128,-1.2101737191482849,-1.3386995878348875,-1.8073118529031411,-1.3638219361992567,-1.3726959881951921,-1.8233459324942756,1,-0.5992878107715729,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1
-0.6080016783683733,-1.0889130797835898,1.412783515790431,0.6422326608104326,-0.4794758203104481,0.35802323082155296,0.9538505081700629,-0.6684037514614268,1.1400563019893057,1.2296926501022896,1.3621065745757797,-0.6863617592631065,0.054643724844064816,-0.7360720558613336,-0.785564512155687,0,0.20217593307944354,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0.45235519559082177,0.2246129513184485,1.412783515790431,0.6528864214250482,-0.4794758203104481,0.8533881919037205,-1.2675773539696165,-0.9562606642355124,-0.8238649762007128,0.009759465477002306,0.461837853772224,0.4031350356033909,-0.22412987328005615,-0.21972235178598903,0.6776066379082136,1,1.5853712605249244,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0.20899460156739996,0.5529944590939581,-0.22238259044849376,1.3419798531788798,-0.4794758203104481,1.4672099915055368,-0.6837405440482903,1.2026661815701296,-0.8238649762007128,-1.2101737191482849,-0.4384308670313317,-1.753121229714999,-1.2572320310341516,-1.3996540048738246,-1.7682518703629773,0,-1.6696441303941663,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.45235519559082177,0.005691946134775455,-0.22238259044849376,0.3880175421447501,-0.4794758203104481,-0.9019267788874382,0.9538505081700629,1.0587377251830867,1.1400563019893057,-1.2101737191482849,0.461837853772224,0.429661914087097,-0.20978123220013817,-0.20520649665134078,0.7072726713635281,1,-0.646213661945006,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.5819273290087209,-0.5416105668244071,-0.22238259044849376,0.3152851379488144,-0.4794758203104481,-0.9019267788874382,-1.7873345140215287,-1.6759029461707264,1.1400563019893057,-1.2101737191482849,-1.3386995878348875,0.9810420311412722,2.8731267941136704,-0.05175317094220225,0.6421133478813196,0,0.22228701215377203,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
-0.3385667349852991,-0.21322905904889758,-0.22238259044849376,-0.4891557404594162,-0.4794758203104481,-0.9019267788874382,0.9538505081700629,1.634451550731258,1.1400563019893057,1.2296926501022896,0.461837853772224,-0.04441129995742071,0.3990111107620966,0.4106804997758774,-0.2701171808695989,0,1.6445872155771137,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
-1.5379868055293064,-0.6510710694162436,-1.0399656435679563,0.764546027866696,-0.4794758203104481,-0.9019267788874382,0.9538505081700629,1.3465946379571725,-0.8238649762007128,0.009759465477002306,-0.4384308670313317,-0.9497357670656164,-0.9559105683558737,-0.9600309636530493,-0.835361068312822,0,0.6811175569606736,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0.0699314049825875,0.334073453910285,-1.0399656435679563,0.24288054177179058,-0.4794758203104481,-0.9019267788874382,-0.44522184731213893,0.33909544324787283,-0.8238649762007128,1.2296926501022896,-0.4384308670313317,-0.3964608729768907,-0.5602980357238491,-0.5598081006548906,-0.2664089266876846,0,-1.2957270305677628,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
